,company,industry_code,industry_name,sector_code,sector_name
0,KDDL Ltd, 209,Watches & Accessories, 14,Consumer Durables
1,Opal Luxury, 209,Watches & Accessories, 14,Consumer Durables
2,JVL Agro Indus, 222,Vanaspati - Large, 49,Edible Oil
3,PTL Enterprises, 95,Tyres - Medium / Small, 4,Tyres
4,Modi Rubber, 95,Tyres - Medium / Small, 4,Tyres
5,CEAT, 5,Tyres - Large, 4,Tyres
6,TVS Srichakra, 5,Tyres - Large, 4,Tyres
7,Apollo Tyres, 5,Tyres - Large, 4,Tyres
8,Balkrishna Inds, 5,Tyres - Large, 4,Tyres
9,JK Tyre & Indust, 5,Tyres - Large, 4,Tyres
10,MRF, 5,Tyres - Large, 4,Tyres
11,Cox & Kings, 119,Travel Agencies, 11,Miscellaneous
12,Thomas Cook (I), 119,Travel Agencies, 11,Miscellaneous
13,Transport Corp., 146,Transport - Road, 50,Logistics
14,Arshiya, 146,Transport - Road, 50,Logistics
15,North Eastn.Car., 146,Transport - Road, 50,Logistics
16,Globe Intl. Car., 146,Transport - Road, 50,Logistics
17,Snowman Logistic, 146,Transport - Road, 50,Logistics
18,VRL Logistics, 146,Transport - Road, 50,Logistics
19,Sical Logistics, 146,Transport - Road, 50,Logistics
20,Patel Integrated, 146,Transport - Road, 50,Logistics
21,Container Corpn., 146,Transport - Road, 50,Logistics
22,Allcargo Logist., 146,Transport - Road, 50,Logistics
23,Rajas. Petro Syn, 146,Transport - Road, 50,Logistics
24,Aqua Logistics, 146,Transport - Road, 50,Logistics
25,KF Airlines, 252,Transport - Airlines, 65,Air Transport Service
26,Interglobe Aviat, 252,Transport - Airlines, 65,Air Transport Service
27,Global Vectra, 252,Transport - Airlines, 65,Air Transport Service
28,Jet Airways, 252,Transport - Airlines, 65,Air Transport Service
29,Bharti Infra., 167,Transmisson Line Towers / Equipment, 42,Telecomm Equipment & Infra Services
30,Kalpataru Power, 167,Transmisson Line Towers / Equipment, 18,Capital Goods - Electrical Equipment
31,BS, 167,Transmisson Line Towers / Equipment, 18,Capital Goods - Electrical Equipment
32,Jyoti Structures, 167,Transmisson Line Towers / Equipment, 18,Capital Goods - Electrical Equipment
33,Sujana Towers, 167,Transmisson Line Towers / Equipment, 18,Capital Goods - Electrical Equipment
34,K E C Intl., 167,Transmisson Line Towers / Equipment, 18,Capital Goods - Electrical Equipment
35,Modern Malleable, 167,Transmisson Line Towers / Equipment, 18,Capital Goods - Electrical Equipment
36,Kothari Petroche, 1,Trading - Medium / Small, 1,Trading
37,Kothari Products, 1,Trading - Medium / Small, 1,Trading
38,Sicagen India, 1,Trading - Medium / Small, 1,Trading
39,Alchemist, 1,Trading - Medium / Small, 1,Trading
40,Indbul.Wholesale, 1,Trading - Medium / Small, 1,Trading
41,Uniphos Enter., 1,Trading - Medium / Small, 1,Trading
42,Ambica Agarbat., 1,Trading - Medium / Small, 1,Trading
43,Anik Industries, 1,Trading - Medium / Small, 1,Trading
44,Sakuma Exports, 1,Trading - Medium / Small, 1,Trading
45,Signet Indus., 1,Trading - Medium / Small, 1,Trading
46,Rain Industries, 1,Trading - Medium / Small, 1,Trading
47,Archies, 1,Trading - Medium / Small, 1,Trading
48,U B Holdings, 1,Trading - Medium / Small, 1,Trading
49,REI Six Ten, 1,Trading - Medium / Small, 1,Trading
50,Future Consumer, 1,Trading - Medium / Small, 1,Trading
51,Aspinwall & Co, 1,Trading - Medium / Small, 1,Trading
52,A B M Internatl., 1,Trading - Medium / Small, 1,Trading
53,Hexa Tradex, 1,Trading - Medium / Small, 1,Trading
54,High Ground, 1,Trading - Medium / Small, 1,Trading
55,JIK Inds., 1,Trading - Medium / Small, 1,Trading
56,Green Fire, 1,Trading - Medium / Small, 1,Trading
57,Standard Inds., 1,Trading - Medium / Small, 1,Trading
58,Visagar Polytex, 1,Trading - Medium / Small, 1,Trading
59,Aegis Logistics, 1,Trading - Medium / Small, 1,Trading
60,Noesis Industrie, 1,Trading - Medium / Small, 1,Trading
61,Vinyl Chemicals, 1,Trading - Medium / Small, 1,Trading
62,PTC India, 195,Trading - Large, 1,Trading
63,MMTC, 195,Trading - Large, 1,Trading
64,S T C, 195,Trading - Large, 1,Trading
65,Surana Corp., 195,Trading - Large, 1,Trading
66,Adani Enterp., 195,Trading - Large, 1,Trading
67,3M India, 195,Trading - Large, 1,Trading
68,Digjam, 280,Textiles - Worsted Fabric, 5,Textiles
69,Orbit Exports, 108,Textiles - Weaving, 5,Textiles
70,Garden Silk Mill, 108,Textiles - Weaving, 5,Textiles
71,Indus Fila, 108,Textiles - Weaving, 5,Textiles
72,Pradip Overseas, 108,Textiles - Weaving, 5,Textiles
73,BSL, 108,Textiles - Weaving, 5,Textiles
74,S Kumars Nation, 108,Textiles - Weaving, 5,Textiles
