,comp_code,comp_name
0,6,ACC
1,9,Aegis Logistics
2,17,Amrutanjan Healt
3,19,Andhra Cements
4,20,Internat. Paper
5,23,Apollo Tyres
6,29,Arvind Ltd
7,31,Ashok Leyland
8,33,Asian Hotels (N)
9,34,Asian Paints
10,35,Assam CO. (I)
11,37,SKF India
12,39,Astrazeneca Phar
13,42,Atlas Cycles
14,43,Atul
15,50,Bajaj Holdings
16,51,Bajaj Electrical
17,55,Balkrishna Inds
18,56,Ballarpur Inds.
19,57,Bannari Amm.Sug.
20,59,BASF India
21,60,Bata India
22,62,Bayer Crop Sci.
23,64,Berger Paints
24,68,Bharat Bijlee
25,69,Bharat Forge
26,70,Bharat Gears
27,72,Sintex Inds.
28,77,Birla Corpn.
29,78,Birla Power Sol.
30,79,Bliss GVS Pharma
31,81,Blue Blends (I)
32,82,Blue Star
33,84,Bombay Burmah
34,85,Bombay Dyeing
35,88,Reliance Infra.
36,90,Abbott India
37,93,Britannia Inds.
38,99,CESC
39,102,Graphite India
40,103,Carborundum Uni.
41,104,CEAT
42,105,ITD Cem
43,106,Century Enka
44,107,Century Textiles
45,111,Exide Inds.
46,114,Cipla
47,116,Clutch Auto
48,117,DIC India
49,118,Colgate-Palm.
50,119,Clariant Chemica
51,121,Tata Coffee
52,123,Coromandel Inter
53,124,Cosmo Films
54,125,Crompton Greaves
55,128,DCM
56,131,Dalmia Bharat
57,134,Deccan Cements
58,135,Deepak Fert.
59,136,Deepak Nitrite
60,141,DCW
61,148,EID Parry
62,149,Merck
63,150,EIH
64,151,Eicher Motors
65,152,Elecon Engg.Co
66,154,Electrost.Cast.
67,155,Elgi Equipment
68,159,GE T&D India
69,160,Hinduja Foundrie
70,161,Escorts
71,164,Essel Propack
72,165,Everest Inds.
73,166,Excel Inds.
74,171,Finolex Cables
75,172,First Leasing Co
76,175,Nestle India
77,180,GKW
78,183,Delta Magnets
79,184,Gabriel India
80,186,Gammon India
81,190,Garware-Wall Rop
82,195,Glaxosmit Pharma
83,196,Goa Carbon
84,197,Federal-Mogul Go
85,200,Kansai Nerolac
86,204,Saregama India
87,207,GE Shipping Co
88,208,Greaves Cotton
89,209,Grindwell Norton
90,210,Golden Tobacco
91,213,G N F C
92,214,Setco Automotive
93,217,Guj Alkalies
94,218,Ambuja Cem.
95,226,G S F C
96,227,Grasim Inds
97,230,H D F C
98,231,GlaxoSmith C H L
99,233,Harri. Malayalam
100,237,Hero Motocorp
101,242,A B B
102,245,Hind.Construct.
103,246,Hind.Dorr-Oliver
104,247,Hind.Motors
105,249,Bajaj Hindusthan
106,250,HSIL
107,251,HEG
108,252,Hindalco Inds.
109,253,Hind.Composites
110,255,Hind. Unilever
111,256,Sanofi India
112,257,Hotel Leela Ven.
113,259,Hil Ltd
114,262,Zensar Tech.
115,265,GOCL Corpn.
116,266,Akzo Nobel
117,270,India Cements
118,278,Indian CardCloth
119,281,IFB Inds.
120,282,Indian Hotels
121,283,Indian Hume Pipe
122,284,Linde India
123,285,Aditya Bir. Nuv.
124,288,Gillette India
125,292,Castrol India
126,295,Ingersoll-Rand
127,298,Tata Inv.Corpn.
128,300,Tata Sponge Iron
129,301,ITC
130,302,IVP
131,303,J B Chem & Pharm
132,304,JK Tyre & Indust
133,311,Jay Shree Tea
134,312,Jenson & Nich.
135,316,K C P
136,322,Kalyani Steels
137,328,Whirlpool India
138,329,Kesoram Inds.
139,330,Khaitan Elect.
140,336,Kirl. Brothers
141,337,Cummins India
142,341,Kothari Sugars
143,342,KSB Pumps
144,345,Trent
145,346,Lak. Mach. Works
146,347,Lak. Prec. Screw
147,348,Larsen & Toubro
148,351,LML
149,355,Manugraph India
150,357,The Ramco Cement
151,363,Mah. Scooters
152,365,M & M
153,367,Mangalam Cement
154,368,Mangalore Chem.
155,372,Max Financial
156,378,Bosch
157,384,Modern Insulator
158,387,Modi Rubber
159,390,Peninsula Land
160,391,MRF
161,392,Mukand
162,396,Heidelberg Cem.
163,401,NCL Inds.
164,410,NELCO
165,412,Piramal Enterp.
166,415,NOCIL
167,419,Orient Abrasives
168,420,Orient Paper
169,421,Oriental Hotels
170,422,OCL India
171,425,Oswal Agro Mills
172,434,Pfizer
173,435,Phillips Carbon
174,444,Prakash Inds.
175,445,Surya Roshni
176,446,Fag Bearings
177,447,Premier
178,450,Pressman Adv.
179,453,Pudumjee Pulp
180,457,Punjab Chemicals
181,465,Rallis India
182,470,Rane Holdings
183,474,Raymond
184,476,Reliance Inds.
185,478,Revathi Equipmnt
186,480,P & G Hygiene
187,484,Rollatainers
188,502,Vedanta
189,503,Seshasayee Paper
190,505,Shalimar Paints
191,508,Shree Cement
192,513,SRF
193,514,Siemens
194,515,Sirpur Paper
195,516,Siyaram Silk
196,519,Somany Ceramics
197,525,S P I C
198,526,TVS Srichakra
199,529,Standard Inds.
200,533,Steel Tubes (I)
201,535,JK Lakshmi Cem.
202,536,Kitply Inds.
203,537,Sundaram Brake
204,538,Sundaram Clayton
205,539,Sundram Fasten.
206,540,Sundaram Finance
207,541,Supreme Inds.
208,544,SML ISUZU
209,549,Talbros Auto.
210,552,Tata Chemicals
211,554,Tata Power Co.
212,555,Infomedia Press
213,556,TRF
214,557,Tata Global
215,560,Tata Motors
216,562,Texmaco Infrast.
217,563,Thirumalai Chem.
218,564,Thomas Cook (I)
219,565,Tinplate Co.
220,566,Tata Steel
221,569,TIL
222,573,Tube Investments
223,577,Unichem Labs.
224,578,Eveready Inds.
225,580,U B Holdings
226,587,Universal Cables
227,592,Jubilant Life
228,597,Voltas
229,598,VST Inds.
230,600,UB Engg.
231,601,W S Inds.
232,602,Walchan. Inds.
233,606,Wendt India
234,607,West Coast Paper
235,609,Wheels India
236,611,Willard India
237,614,Wipro
238,618,XPRO India
239,620,Zenith Birla
240,621,Zuari Global
241,622,Automotive Axles
242,623,Malwa Cotton Spg
243,632,Alembic
244,633,Alkyl Amines
245,636,Apollo Hospitals
246,641,Oswal Green Tech
247,644,Cimmco
248,651,Dynamatic Tech.
249,655,Global Offshore
250,657,Godfrey Phillips
251,667,Indo National
252,670,Nalwa Sons Invst
253,672,JBF Inds.
254,677,Lyka Labs
255,683,Modern Denim
256,688,NRC
257,690,NESCO
258,694,Oudh Sugar Mills
259,695,Marathon Nextgen
260,700,RSWM Ltd
261,702,Rico Auto Inds
262,704,Ruchi Soya Inds.
263,720,V I P Inds.
264,722,Vindhya Telelink
265,732,Balmer Lawrie
266,737,Dhunseri Petro.
267,743,Kanoria Chem.
268,745,Williamson Magor
269,751,McNally Bharat
270,755,Oriental Carbon
271,765,Upper Gang. Sug.
272,770,Peria Kara. Tea
273,771,Sakthi Sugars
274,780,TTK Healthcare
275,782,Lumax Inds.
276,798,Varun Ship. Co.
277,799,Ador Welding
278,805,Oricon Enter.
279,807,Mangalam Timber
280,808,Sudarshan Chem.
281,809,Windsor Machines
282,810,Uniphos Enter.
283,815,Dr Reddy's Labs
284,820,Uttam Value Ste.
285,825,BSL
286,830,Rajas. Petro Syn
287,831,Regency Ceramics
288,840,IFB Agro Inds.
289,842,Himatsing. Seide
290,848,T N Petro Prod.
291,866,INEOS Styrolut.
292,897,Gandhi Spl. Tube
293,922,Kesar Enterprise
294,927,Twilight Litaka
295,932,Vardhman Textile
296,941,Munjal Showa
297,942,Nahar Spinning
298,955,Rain Industries
299,965,Jindal Saw
300,968,Shanthi Gears
301,974,STI India
302,976,Winsome Diamonds
303,979,Tainwala Chem.
304,983,Vardhman Hold.
305,986,Unitech
306,991,Banco Products
307,992,Natl. Steel&Agro
308,998,Zandu Realty
309,1000,Sagar Cements
310,1016,Titan Company
311,1019,HCL Infosystems
312,1022,Garden Silk Mill
313,1024,Asahi India Glas
314,1026,GHCL
315,1028,Honda Siel Power
316,1035,Nicco Corpn.
317,1052,Visaka Inds.
318,1054,Sona Koyo Steer.
319,1056,Polyplex Corpn
320,1057,Uttam Galva
321,1058,Ester Inds.
322,1062,JCT Electronics
323,1065,Sunflag Iron
324,1066,Murudesh Ceramic
325,1071,Kirloskar Indus.
326,1074,Guj. Sidhee Cem.
327,1075,Munjal Auto Inds
328,1076,Usha Martin
329,1079,AGC Networks
330,1082,Classic Diamonds
331,1083,Samtel Color
332,1093,Aban Offshore
333,1095,EIH Assoc.Hotels
334,1097,Kokuyo Camlin
335,1102,The Hi-Tech Gear
336,1105,India Glycols
337,1106,Huhtamaki PPL
338,1119,Pennar Inds.
339,1121,Subros
340,1127,Jain Irrigation
341,1128,Guj Fluorochem
342,1129,Kajaria Ceramics
343,1131,Honeywell Auto
344,1140,Sarda Energy
345,1147,Esab India
346,1149,Jamna Auto Inds.
347,1150,Jay Bharat Mar.
348,1165,Monsanto India
349,1167,Value Industries
350,1180,Shrenuj & Co.
351,1186,Nahar Indl. Ent.
352,1189,H F C L
353,1190,Oil Country
354,1196,Jyoti Structures
355,1208,Eurotex Inds.
356,1210,Modern Terry Tow
357,1214,Bhansali Engg.
358,1215,Pearl Polymers
359,1216,Chemfab Alkalis
360,1220,Indo Rama Synth.
361,1223,Can Fin Homes
362,1224,Vinyl Chemicals
363,1225,Dharani Sugars
364,1227,Kabra Extrusion
365,1250,Venky's (India)
366,1252,Finolex Inds.
367,1254,Albert David
368,1255,Amtek Auto
369,1258,Shiva Texyarn
370,1259,Ansal Housing
371,1287,Hind Syntex
372,1291,Jindal Drilling
373,1305,Lloyds Finance
374,1310,Modern Syntex
375,1313,Moser Baer (I)
376,1318,Omax Autos
377,1320,Patel Engg.
378,1321,Polar Inds.
379,1322,PTL Enterprises
380,1338,Steel Str. Wheel
381,1344,Swaraj Engines
382,1358,Weizmann
383,1369,Man Inds.
384,1375,St Bk of India
385,1389,Autolite (I)
386,1393,ORG Informatics
387,1394,Shreyans Inds.
388,1419,ICDS
389,1436,Rajshree Sugars
390,1437,Ruby Mills
391,1467,Advani Hotels.
392,1470,Hind Rectifiers
393,1474,Uflex
394,1514,Ucal Fuel Sys.
395,1520,Spice Mobility
396,1524,Vadilal Inds.
397,1538,Anant Raj
398,1559,Harita Seating
399,1572,Jai Corp
400,1590,Geodesic
401,1610,Sical Logistics
402,1623,Sujana Univ. Ind
403,1627,Navneet Educat.
404,1693,Good Value Mktg
405,1706,Superhouse Ltd
406,1710,IL&FS Inv.Manag.
407,1725,Hind.Oil Explor.
408,1729,PAE
409,1736,Suman Motels
410,1741,Century Extrus.
411,1742,Godrej Inds.
412,1745,Shriram Trans.
413,1765,T T
414,1774,Dhanuka Agritech
415,1781,Kirl. Electric
416,1783,Super Forgings
417,1792,Manali Petrochem
418,1809,Asian Electronic
419,1813,GRP
420,1814,Dewan Hsg. Fin.
421,1840,AVT Natural Prod
422,1846,Ginni Filaments
423,1861,Kakatiya Cement
424,1866,Reliance Capital
425,1878,Thiru Aroor. Su.
426,1889,Salzer Electron.
427,1896,Sterling Biotech
428,1903,Precot Meridian
429,1905,Super Spinning
430,1907,India Nipp.Elec.
431,1908,Pricol
432,1909,Rolta India
433,1926,Ramco Inds.
434,1927,L G Balakrishnan
435,1938,Motor & Gen Fin
436,1941,United Nilgiri
437,1945,India Motor Part
438,1952,Suryalak. Cott.
439,1957,Ruchi Infrastr.
440,1960,Indo Count Inds.
441,1967,Guj. Lease Fin.
442,1971,Spanco Ltd
443,1973,IOL Chemicals
444,1975,Hercules Hoists
445,1988,DE Nora India
446,2004,Arshiya
447,2006,AYM Syntex
448,2035,Apar Inds.
449,2036,Orient Bell
450,2039,Donear Inds.
451,2053,Nova Electro
452,2060,Maha Rashtra Apx
453,2061,Nilkamal Ltd
454,2074,Nahar Poly
455,2075,TECIL Chemical
456,2086,Sequent Scien.
457,2096,3M India
458,2100,Johnson Con. Hit
459,2105,HB Stockholdings
460,2110,Amara Raja Batt.
461,2113,JM Financial
462,2117,Swan Energy
463,2129,T N Telecom.
464,2141,EMCO
465,2146,Agro Tech Foods.
466,2153,Radico Khaitan
467,2163,Cholaman.Inv.&Fn
468,2165,Star Paper Mills
469,2168,S & S Power Swit
470,2171,Jagsonpal Pharma
471,2174,NEPC India
472,2191,Mah. Seamless
473,2195,Rel. Indl. Infra
474,2198,Maral Overseas
475,2202,I G Petrochems
476,2208,Balrampur Chini
477,2216,High Ground
478,2226,Timken India
479,2227,Welspun India
480,2247,Vinati Organics
481,2259,Andhra Sugars
482,2278,Ganesha Ecosphe.
483,2285,Gufic BioScience
484,2290,B P C L
485,2292,MMTC
486,2293,M T N L
487,2294,BEML Ltd
488,2295,Tata Comm
489,2297,R C F
490,2298,Bharat Electron
491,2299,S A I L
492,2300,S T C
493,2301,F A C T
494,2302,Hind.Organ.Chem.
495,2303,NLC India
496,2304,Natl. Aluminium
497,2305,H P C L
498,2306,B H E L
499,2307,Hind.Zinc
500,2322,Tata Elxsi
501,2323,HMT
502,2329,Bhagyanagar Ind
503,2330,Kotak Mah. Bank
504,2334,ITI
505,2335,Dredging Corpn.
506,2337,DCM Shriram
507,2338,Mawana Sugars
508,2339,C P C L
509,2347,S C I
510,2356,Metalyst Forg.
511,2362,Autoriders Fin.
512,2370,Rainbow Papers
513,2371,Genesys Intl.
514,2378,Aarti Inds.
515,2381,IFGL Refractor
516,2385,Binani Inds
517,2386,Ausom Enter.
518,2393,Wanbury
519,2395,Grand Foundry
520,2396,Suryajyoti Spg.
521,2400,Prec. Wires (I)
522,2401,HBL Power System
523,2404,Ajmera Realty
524,2410,Arcotech Ltd
525,2412,Khaitan (India)
526,2415,Gillanders Arbut
527,2416,ADF Foods
