,sector,comp_name,industry
0,Agro Chemicals,12,"['Pesticides / Agrochemicals - Multinational'
 'Pesticides / Agrochemicals - Indian - Large'
 'Pesticides / Agrochemicals - Indian - Medium/Small']"
1,Air Transport Service,4,['Transport - Airlines']
2,Alcoholic Beverages,13,['Breweries' 'Distilleries']
3,Auto Ancillaries,69,"['Bearings - Large' 'Auto Ancillaries - Gears'
 'Auto Ancillaries - Batteries' 'Auto Ancillaries - Clutches'
 'Auto Ancillaries - Shock Absorbers' 'Auto Ancillaries - Engine Parts'
 'Auto Ancillaries - Friction Materials' 'Auto Ancillaries - Brakes'
 'Auto Ancillaries - Others' 'Auto Ancillaries - Wheels'
 'Auto Ancillaries - Axles / Shafts' 'Auto Ancillaries - Lamps'
 'Auto Ancillaries - Springs' 'Auto Ancillaries - Sheet Metal'
 'Auto Ancillaries - Electrical' 'Auto Ancillaries - Instruments'
 'Auto Ancillaries - Trading' 'Bearings - Medium / Small']"
4,Automobile,16,"['Automobiles - LCVs/HCVs' 'Automobiles - Tractors'
 'Automobiles - Motorcycles / Mopeds' 'Automobiles - passenger cars'
 'Automobiles - Scooters and 3-Wheelers']"
5,Banks,41,['Banks - Public Sector' 'Banks - Private Sector']
6,Bearings,1,['Bearings - Medium / Small']
7,Cables,16,"['Cables - Power - Large' 'Cables - Telephone'
 'Cables - Power - Medium / Small']"
8,Capital Goods - Electrical Equipment,52,"['Electric Equipment - Transformers'
 'Electric Equipment - Gensets / Turbines'
 'Electric Equipment - General - Large'
 'Electric Equipment - Switchgears/Relays/Circuits'
 'Electric Equipment - General - Medium / Small'
 'Transmisson Line Towers / Equipment' 'Hydraulics'
 'Engineering - Heavy - General - Medium / Small']"
9,Capital Goods-Non Electrical Equipment,51,"['Electrodes - Graphites' 'Abrasives and Grinding Wheels'
 'Engineering - Heavy - Material Handling'
 'Compressors / Drilling Equipment' 'Engines' 'Pumps'
 'Engineering - Heavy - General - Large' 'Machine Tools - Others'
 'Engineering - Heavy - General - Medium / Small' 'Hydraulics'
 'Electrodes - Welding Equipment' 'Engineering - Heavy - Plastic Machinery'
 'Engineering - Light - General - Medium / Small'
 'Pollution Control Equipment' 'Engineering - Turnkey Services'
 'Fire - Protection Equipment']"
10,"Castings, Forgings & Fastners",20,"['Forgings - Large' 'Castings - Grey Iron' 'Fasteners'
 'Castings - Steel / Alloy' 'Forgings - Medium / Small']"
11,Cement,26,"['Cement - Major - North India' 'Cement - Major - South India'
 'Cement - Mini - South India' 'Cement - Mini - North India']"
12,Cement - Products,7,['Cement Products']
13,Ceramic Products,10,['Ceramics - Tiles' 'Ceramics - Sanitaryware / Others']
14,Chemicals,71,"['Dyes And Pigments - Large' 'Leather Chemicals'
 'Chemicals - Speciality - Medium / Small' 'Chemicals - Speciality - Large'
 'Chemicals - Benzene-based' 'Chemicals - Organic - Large'
 'Aluminium Chemicals' 'Chlor-Alkali' 'Industrial Explosives'
 'Industrial Gas' 'Lubricants' 'Chemicals - Organic - Medium / Small'
 'Carbon Black' 'Chemicals - Inorganic - Medium / Small'
 'Chemicals - Maleic Anhydride / Phthalic Anhydride' 'Soda Ash'
 'Chemicals - Alcohol-based' 'Chemicals - Gelatine'
 'Dyes - Reactive / Direct' 'Dyes And Pigments - Medium / Small'
 'Chemicals - Inorganic - Large' 'Dyes - Intermediate'
 'Chemicals - Pentaerythritol / Formaldehyde']"
15,Computer Education,9,['Computers - Education']
16,Construction,42,"['Construction - Civil / Turnkey - Medium / Small'
 'Construction - Civil / Turnkey - Large'
 'Construction - Housing - Medium / Small'
 'Construction - Factories / Offices / Commercial'
 'Construction - Housing - Large']"
