,index,company,industry_code,industry_name,sector_code,sector_name
0,580,Bayer Crop Sci.,20,Pesticides / Agrochemicals - Multinational,17,Agro Chemicals
1,582,Astec Life,185,Pesticides / Agrochemicals - Indian - Medium/Small,17,Agro Chemicals
2,583,Dhanuka Agritech,185,Pesticides / Agrochemicals - Indian - Medium/Small,17,Agro Chemicals
3,584,Insecticid.India,185,Pesticides / Agrochemicals - Indian - Medium/Small,17,Agro Chemicals
4,585,Bharat Rasayan,185,Pesticides / Agrochemicals - Indian - Medium/Small,17,Agro Chemicals
5,586,Jubilant Inds.,104,Pesticides / Agrochemicals - Indian - Large,17,Agro Chemicals
6,587,Meghmani Organ.,104,Pesticides / Agrochemicals - Indian - Large,17,Agro Chemicals
7,588,UPL,104,Pesticides / Agrochemicals - Indian - Large,17,Agro Chemicals
8,589,P I Inds.,104,Pesticides / Agrochemicals - Indian - Large,17,Agro Chemicals
9,590,Excel Crop Care,104,Pesticides / Agrochemicals - Indian - Large,17,Agro Chemicals
10,591,Rallis India,104,Pesticides / Agrochemicals - Indian - Large,17,Agro Chemicals
11,581,Monsanto India,20,Pesticides / Agrochemicals - Multinational,17,Agro Chemicals
12,25,KF Airlines,252,Transport - Airlines,65,Air Transport Service
13,28,Jet Airways,252,Transport - Airlines,65,Air Transport Service
14,27,Global Vectra,252,Transport - Airlines,65,Air Transport Service
15,26,Interglobe Aviat,252,Transport - Airlines,65,Air Transport Service
16,1205,United Spirits,196,Distilleries,51,Alcoholic Beverages
17,1206,Radico Khaitan,196,Distilleries,51,Alcoholic Beverages
18,1207,Aurangabad Dist.,196,Distilleries,51,Alcoholic Beverages
19,1600,Globus Spirits,147,Breweries,51,Alcoholic Beverages
20,1601,Ravikumar Distll,147,Breweries,51,Alcoholic Beverages
21,1602,United Breweries,147,Breweries,51,Alcoholic Beverages
22,1603,IFB Agro Inds.,147,Breweries,51,Alcoholic Beverages
23,1210,Som Distilleries,196,Distilleries,51,Alcoholic Beverages
24,1208,Pioneer Distil.,196,Distilleries,51,Alcoholic Beverages
25,1209,Empee Distill.,196,Distilleries,51,Alcoholic Beverages
26,1203,G M Breweries,196,Distilleries,51,Alcoholic Beverages
27,1204,Tilaknagar Inds.,196,Distilleries,51,Alcoholic Beverages
28,1211,Pincon Spirit,196,Distilleries,51,Alcoholic Beverages
29,1717,Shriram Pistons,65,Auto Ancillaries - Engine Parts,10,Auto Ancillaries
30,1613,Timken India,11,Bearings - Large,10,Auto Ancillaries
31,1719,Federal-Mogul Go,65,Auto Ancillaries - Engine Parts,10,Auto Ancillaries
32,1671,Steel Str. Wheel,125,Auto Ancillaries - Wheels,10,Auto Ancillaries
33,1672,Wheels India,125,Auto Ancillaries - Wheels,10,Auto Ancillaries
34,1673,Jullundur Motor,191,Auto Ancillaries - Trading,10,Auto Ancillaries
35,1674,India Motor Part,191,Auto Ancillaries - Trading,10,Auto Ancillaries
36,1675,Jamna Auto Inds.,165,Auto Ancillaries - Springs,10,Auto Ancillaries
37,1676,Munjal Showa,61,Auto Ancillaries - Shock Absorbers,10,Auto Ancillaries
38,1677,Gabriel India,61,Auto Ancillaries - Shock Absorbers,10,Auto Ancillaries
39,1678,Omax Autos,166,Auto Ancillaries - Sheet Metal,10,Auto Ancillaries
40,1679,Automotive Stamp,166,Auto Ancillaries - Sheet Metal,10,Auto Ancillaries
41,1680,Jay Bharat Mar.,166,Auto Ancillaries - Sheet Metal,10,Auto Ancillaries
42,1681,Castex Tech,115,Auto Ancillaries - Others,10,Auto Ancillaries
43,1682,WABCO India,115,Auto Ancillaries - Others,10,Auto Ancillaries
44,1683,Precision Camshf,115,Auto Ancillaries - Others,10,Auto Ancillaries
45,1612,Fag Bearings,11,Bearings - Large,10,Auto Ancillaries
46,1684,JBM Auto,115,Auto Ancillaries - Others,10,Auto Ancillaries
47,1611,SKF India,11,Bearings - Large,10,Auto Ancillaries
48,1609,Menon Bearings,216,Bearings - Medium / Small,10,Auto Ancillaries
49,1734,Rane (Madras),128,Auto Ancillaries - Axles / Shafts,10,Auto Ancillaries
50,1733,Automotive Axles,128,Auto Ancillaries - Axles / Shafts,10,Auto Ancillaries
51,1732,GNA Axles,128,Auto Ancillaries - Axles / Shafts,10,Auto Ancillaries
52,1731,Exide Inds.,35,Auto Ancillaries - Batteries,10,Auto Ancillaries
53,1730,Amara Raja Batt.,35,Auto Ancillaries - Batteries,10,Auto Ancillaries
54,1729,PAE,35,Auto Ancillaries - Batteries,10,Auto Ancillaries
55,1728,Sundaram Clayton,112,Auto Ancillaries - Brakes,10,Auto Ancillaries
56,1727,Amtek Auto,112,Auto Ancillaries - Brakes,10,Auto Ancillaries
57,1726,ANG Inds,112,Auto Ancillaries - Brakes,10,Auto Ancillaries
58,1725,Clutch Auto,37,Auto Ancillaries - Clutches,10,Auto Ancillaries
59,1724,Setco Automotive,37,Auto Ancillaries - Clutches,10,Auto Ancillaries
60,1718,Rane Engine Val.,65,Auto Ancillaries - Engine Parts,10,Auto Ancillaries
61,1722,Motherson Sumi,189,Auto Ancillaries - Electrical,10,Auto Ancillaries
62,1721,India Nipp.Elec.,189,Auto Ancillaries - Electrical,10,Auto Ancillaries
63,1720,Ucal Fuel Sys.,65,Auto Ancillaries - Engine Parts,10,Auto Ancillaries
64,1610,NRB Bearings,11,Bearings - Large,10,Auto Ancillaries
65,1685,Fiem Inds.,115,Auto Ancillaries - Others,10,Auto Ancillaries
66,1723,Minda Inds.,189,Auto Ancillaries - Electrical,10,Auto Ancillaries
67,1687,L G Balakrishnan,115,Auto Ancillaries - Others,10,Auto Ancillaries
68,1716,Bosch,65,Auto Ancillaries - Engine Parts,10,Auto Ancillaries
69,1715,Rane Brake Lin.,78,Auto Ancillaries - Friction Materials,10,Auto Ancillaries
70,1686,Talbros Auto.,115,Auto Ancillaries - Others,10,Auto Ancillaries
71,1713,Sundaram Brake,78,Auto Ancillaries - Friction Materials,10,Auto Ancillaries
72,1712,The Hi-Tech Gear,23,Auto Ancillaries - Gears,10,Auto Ancillaries
73,1711,Bharat Gears,23,Auto Ancillaries - Gears,10,Auto Ancillaries
74,1710,Shanthi Gears,23,Auto Ancillaries - Gears,10,Auto Ancillaries
75,1709,Sona Koyo Steer.,23,Auto Ancillaries - Gears,10,Auto Ancillaries
76,1708,JMT Auto,23,Auto Ancillaries - Gears,10,Auto Ancillaries
77,1707,Pricol,190,Auto Ancillaries - Instruments,10,Auto Ancillaries
78,1706,Minda Corp,190,Auto Ancillaries - Instruments,10,Auto Ancillaries
79,1705,Lumax Inds.,142,Auto Ancillaries - Lamps,10,Auto Ancillaries
80,1704,Autolite (I),142,Auto Ancillaries - Lamps,10,Auto Ancillaries
81,1703,Phoenix Lamps,142,Auto Ancillaries - Lamps,10,Auto Ancillaries
82,1702,Banco Products,115,Auto Ancillaries - Others,10,Auto Ancillaries
83,1714,Hind.Composites,78,Auto Ancillaries - Friction Materials,10,Auto Ancillaries
84,1693,PPAP Automotive,115,Auto Ancillaries - Others,10,Auto Ancillaries
85,1701,Suprajit Engg.,115,Auto Ancillaries - Others,10,Auto Ancillaries
86,1700,Autoline Inds.,115,Auto Ancillaries - Others,10,Auto Ancillaries
87,1699,Alicon Cast.,115,Auto Ancillaries - Others,10,Auto Ancillaries
88,1698,Harita Seating,115,Auto Ancillaries - Others,10,Auto Ancillaries
89,1697,Endurance Tech.,115,Auto Ancillaries - Others,10,Auto Ancillaries
90,1696,Lumax Auto.Sys.,115,Auto Ancillaries - Others,10,Auto Ancillaries
91,1695,Lumax Auto Tech.,115,Auto Ancillaries - Others,10,Auto Ancillaries
92,1694,Sharda Motor,115,Auto Ancillaries - Others,10,Auto Ancillaries
93,1692,Munjal Auto Inds,115,Auto Ancillaries - Others,10,Auto Ancillaries
94,1691,Subros,115,Auto Ancillaries - Others,10,Auto Ancillaries
95,1690,Shivam Autotech,115,Auto Ancillaries - Others,10,Auto Ancillaries
96,1688,Remsons Inds.,115,Auto Ancillaries - Others,10,Auto Ancillaries
97,1689,Rico Auto Inds,115,Auto Ancillaries - Others,10,Auto Ancillaries
98,1670,Tata Motors,7,Automobiles - LCVs/HCVs,6,Automobile
99,1669,Ashok Leyland,7,Automobiles - LCVs/HCVs,6,Automobile
100,1668,SML ISUZU,7,Automobiles - LCVs/HCVs,6,Automobile
101,1656,M & M,75,Automobiles - passenger cars,6,Automobile
