,industry_code,industry_name
0,I0,Cement - Major - North India
1,I1,Trading - Medium / Small
2,I2,Pharmaceuticals - Indian - Formulations
3,I3,Cement - Major - South India
4,I4,Paper - Large
5,I5,Tyres - Large
6,I6,Textiles - Denim Fabric
7,I7,Automobiles - LCVs/HCVs
8,I8,Hotels - Large
9,I9,Paints / Varnishes
10,I10,Tea - Indian - Medium / Small
11,I11,Bearings - Large
12,I12,Pharmaceuticals - Multinational
13,I13,Cycles And Accessories
14,I14,Dyes And Pigments - Large
15,I15,Finance - Investment / Others
16,I16,Domestic Appliances - White Goods
17,I17,Sugar - Integrated
18,I18,Leather Chemicals
19,I19,Leather / Synthetic Footware - Large
20,I20,Pesticides / Agrochemicals - Multinational
21,I21,Electric Equipment - Transformers
22,I22,Forgings - Large
23,I23,Auto Ancillaries - Gears
24,I24,Plastics - Others
25,I25,Electric Equipment - Gensets / Turbines
26,I26,Textiles - Texturising
27,I27,Air-conditioners
28,I28,Tea - Indian - Large
29,I29,Power Generation And Supply
30,I30,Food And Dairy Products - Multinational
31,I31,Electrodes - Graphites
32,I32,Abrasives and Grinding Wheels
33,I33,Construction - Civil / Turnkey - Medium / Small
34,I34,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn
35,I35,Auto Ancillaries - Batteries
36,I36,Pharmaceuticals - Indian - Bulk Drugs & Formln Lrg
37,I37,Auto Ancillaries - Clutches
38,I38,Chemicals - Speciality - Medium / Small
39,I39,Personal Care - Multinational
40,I40,Chemicals - Speciality - Large
41,I41,Coffee
42,I42,Fertilizers - Nitrogenous / Phosphatic
43,I43,Packaging - BOPP Film
44,I44,Electric Equipment - General - Large
45,I45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg
46,I46,Cement - Mini - South India
47,I47,Chemicals - Benzene-based
48,I48,Petrochemicals - Polymers - Large
49,I49,Engineering - Heavy - Material Handling
50,I50,Castings - Grey Iron
51,I51,Compressors / Drilling Equipment
52,I52,Electric Equipment - Switchgears/Relays/Circuits
53,I53,Automobiles - Tractors
54,I54,Packaging - Others
55,I55,Cement Products
56,I56,Chemicals - Organic - Large
57,I57,Cables - Power - Large
58,I58,Finance - Medium
59,I59,Fasteners
60,I60,Electronics - Hard Ferrites
61,I61,Auto Ancillaries - Shock Absorbers
62,I62,Construction - Civil / Turnkey - Large
63,I63,Textiles - Others
64,I64,Aluminium Chemicals
65,I65,Auto Ancillaries - Engine Parts
66,I66,Entertainment - Content Providers
67,I67,Shipping - Large
68,I68,Engines
69,I69,Cigarettes
70,I70,Chlor-Alkali
71,I71,Textiles - Acrylic Fibre
72,I72,Finance - Housing - Large
73,I73,Automobiles - Motorcycles / Mopeds
74,I74,Engineering - Turnkey Services
75,I75,Automobiles - passenger cars
