industry_code,industry_name
I0,Cement - Major - North India
I1,Trading - Medium / Small
I2,Pharmaceuticals - Indian - Formulations
I3,Cement - Major - South India
I4,Paper - Large
I5,Tyres - Large
I6,Textiles - Denim Fabric
I7,Automobiles - LCVs/HCVs
I8,Hotels - Large
I9,Paints / Varnishes
I10,Tea - Indian - Medium / Small
I11,Bearings - Large
I12,Pharmaceuticals - Multinational
I13,Cycles And Accessories
I14,Dyes And Pigments - Large
I15,Finance - Investment / Others
I16,Domestic Appliances - White Goods
I17,Sugar - Integrated
I18,Leather Chemicals
I19,Leather / Synthetic Footware - Large
I20,Pesticides / Agrochemicals - Multinational
I21,Electric Equipment - Transformers
I22,Forgings - Large
I23,Auto Ancillaries - Gears
I24,Plastics - Others
I25,Electric Equipment - Gensets / Turbines
I26,Textiles - Texturising
I27,Air-conditioners
I28,Tea - Indian - Large
I29,Power Generation And Supply
I30,Food And Dairy Products - Multinational
I31,Electrodes - Graphites
I32,Abrasives and Grinding Wheels
I33,Construction - Civil / Turnkey - Medium / Small
I34,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn
I35,Auto Ancillaries - Batteries
I36,Pharmaceuticals - Indian - Bulk Drugs & Formln Lrg
I37,Auto Ancillaries - Clutches
I38,Chemicals - Speciality - Medium / Small
I39,Personal Care - Multinational
I40,Chemicals - Speciality - Large
I41,Coffee
I42,Fertilizers - Nitrogenous / Phosphatic
I43,Packaging - BOPP Film
I44,Electric Equipment - General - Large
I45,Textiles - Spinning/Cotton/Blended Yarn - Ring Spg
I46,Cement - Mini - South India
I47,Chemicals - Benzene-based
I48,Petrochemicals - Polymers - Large
I49,Engineering - Heavy - Material Handling
I50,Castings - Grey Iron
I51,Compressors / Drilling Equipment
I52,Electric Equipment - Switchgears/Relays/Circuits
I53,Automobiles - Tractors
I54,Packaging - Others
I55,Cement Products
I56,Chemicals - Organic - Large
I57,Cables - Power - Large
I58,Finance - Medium
I59,Fasteners
I60,Electronics - Hard Ferrites
I61,Auto Ancillaries - Shock Absorbers
I62,Construction - Civil / Turnkey - Large
I63,Textiles - Others
I64,Aluminium Chemicals
I65,Auto Ancillaries - Engine Parts
I66,Entertainment - Content Providers
I67,Shipping - Large
I68,Engines
I69,Cigarettes
I70,Chlor-Alkali
I71,Textiles - Acrylic Fibre
I72,Finance - Housing - Large
I73,Automobiles - Motorcycles / Mopeds
I74,Engineering - Turnkey Services
I75,Automobiles - passenger cars
I76,Ceramics - Sanitaryware / Others
I77,Aluminium
I78,Auto Ancillaries - Friction Materials
I79,Computers - Software - Medium / Small
