comp_code,stock_symbol,exch_code
6,ACC,NSE
9,AEGISCHEM,NSE
17,AMRUTANJAN,NSE
19,ANDHRACEMT,NSE
20,IPAPPM,NSE
23,APOLLOTYRE,NSE
29,ARVIND,NSE
31,ASHOKLEY,NSE
33,ASIANHOTNR,NSE
34,ASIANPAINT,NSE
35,ASSAMCO,NSE
37,SKFINDIA,NSE
39,ASTRAZEN,NSE
42,ATLASCYCLE,NSE
43,ATUL,NSE
50,BAJAJHLDNG,NSE
51,BAJAJELEC,NSE
55,BALKRISIND,NSE
56,BALLARPUR,NSE
57,BANARISUG,NSE
59,BASF,NSE
60,BATAINDIA,NSE
62,BAYERCROP,NSE
64,BERGEPAINT,NSE
68,BBL,NSE
69,BHARATFORG,NSE
70,BHARATGEAR,NSE
72,SINTEX,NSE
77,BIRLACORPN,NSE
78,BIRLAPOWER,NSE
79,BLISSGVS,NSE
81,BLUEBLENDS,NSE
82,BLUESTARCO,NSE
84,BBTC,NSE
85,BOMDYEING,NSE
88,RELINFRA,NSE
90,ABBOTINDIA,NSE
93,BRITANNIA,NSE
99,CESC,NSE
102,GRAPHITE,NSE
103,CARBORUNIV,NSE
104,CEATLTD,NSE
105,ITDCEM,NSE
106,CENTENKA,NSE
107,CENTURYTEX,NSE
111,EXIDEIND,NSE
114,CIPLA,NSE
116,CLUTCHAUTO,NSE
117,DICIND,NSE
118,COLPAL,NSE
119,CLNINDIA,NSE
121,TATACOFFEE,NSE
123,COROMANDEL,NSE
124,COSMOFILMS,NSE
125,CROMPGREAV,NSE
128,DCM,NSE
131,DALMIASUG,NSE
134,DECCANCE,NSE
135,DEEPAKFERT,NSE
136,DEEPAKNTR,NSE
141,DCW,NSE
148,EIDPARRY,NSE
149,MERCK,NSE
150,EIHOTEL,NSE
151,EICHERMOT,NSE
152,ELECON,NSE
154,ELECTCAST,NSE
155,ELGIEQUIP,NSE
159,GET&D,NSE
160,HINDUJAFO,NSE
161,ESCORTS,NSE
164,ESSELPACK,NSE
165,EVERESTIND,NSE
166,EXCELINDUS,NSE
171,FINCABLES,NSE
172,FIRSTLEASE,NSE
175,NESTLEIND,NSE
180,GKWLIMITED,NSE
183,DELTAMAGNT,NSE
184,GABRIEL,NSE
186,GAMMONIND,NSE
190,GARWALLROP,NSE
195,GLAXO,NSE
196,GOACARBON,NSE
197,FMGOETZE,NSE
200,KANSAINER,NSE
204,SAREGAMA,NSE
207,GESHIP,NSE
208,GREAVESCOT,NSE
209,GRINDWELL,NSE
210,GOLDENTOBC,NSE
213,GNFC,NSE
214,SETCO,NSE
217,GUJALKALI,NSE
218,AMBUJACEM,NSE
226,GSFC,NSE
227,GRASIM,NSE
230,HDFC,NSE
231,GSKCONS,NSE
233,HARRMALAYA,NSE
237,HEROMOTOCO,NSE
242,ABB,NSE
245,HCC,NSE
246,HINDDORROL,NSE
247,HINDMOTORS,NSE
249,BAJAJHIND,NSE
250,HSIL,NSE
251,HEG,NSE
252,HINDALCO,NSE
253,HINDCOMPOS,NSE
255,HINDUNILVR,NSE
256,SANOFI,NSE
257,HOTELEELA,NSE
259,HIL,NSE
262,ZENSARTECH,NSE
265,GOCLCORP,NSE
266,AKZOINDIA,NSE
270,INDIACEM,NSE
278,INDIANCARD,NSE
281,IFBIND,NSE
282,INDHOTEL,NSE
283,INDIANHUME,NSE
284,LINDEINDIA,NSE
285,ABIRLANUVO,NSE
288,GILLETTE,NSE
292,CASTROLIND,NSE
295,INGERRAND,NSE
298,TATAINVEST,NSE
300,TATASPONGE,NSE
301,ITC,NSE
302,IVP,NSE
303,JBCHEPHARM,NSE
304,JKTYRE,NSE
311,JAYSREETEA,NSE
312,JENSONICOL,NSE
316,KCP,NSE
322,KSL,NSE
328,WHIRLPOOL,NSE
329,KESORAMIND,NSE
330,KHAITANELE,NSE
336,KIRLOSBROS,NSE
337,CUMMINSIND,NSE
341,KOTARISUG,NSE
342,KSBPUMPS,NSE
345,TRENT,NSE
346,LAXMIMACH,NSE
347,LAKPRE,NSE
348,LT,NSE
351,LML,NSE
355,MANUGRAPH,NSE
357,RAMCOCEM,NSE
363,MAHSCOOTER,NSE
365,M&M,NSE
367,MANGLMCEM,NSE
368,MANGCHEFER,NSE
372,MFSL,NSE
378,BOSCHLTD,NSE
384,MODINSULAT,NSE
387,MODIRUBBER,NSE
390,PENINLAND,NSE
391,MRF,NSE
392,MUKANDLTD,NSE
396,HEIDELBERG,NSE
401,NCLIND,NSE
410,NELCO,NSE
412,PEL,NSE
415,NOCIL,NSE
419,ORIENTABRA,NSE
420,ORIENTPPR,NSE
421,ORIENTHOT,NSE
422,OCL,NSE
425,OSWALAGRO,NSE
434,PFIZER,NSE
435,PHILIPCARB,NSE
444,PRAKASH,NSE
445,SURYAROSNI,NSE
446,FAGBEARING,NSE
447,PREMIER,NSE
450,PRESSMN,NSE
453,PDUMJEPULP,NSE
457,PUNJABCHEM,NSE
465,RALLIS,NSE
470,RANEHOLDIN,NSE
474,RAYMOND,NSE
476,RELIANCE,NSE
478,REVATHI,NSE
480,PGHH,NSE
484,ROLLT,NSE
502,VEDL,NSE
503,SESHAPAPER,NSE
505,SHALPAINTS,NSE
508,SHREECEM,NSE
513,SRF,NSE
514,SIEMENS,NSE
515,SIRPAPER,NSE
516,SIYSIL,NSE
519,SOMANYCERA,NSE
525,SPIC,NSE
526,TVSSRICHAK,NSE
529,SIL,NSE
533,STEELTUBES,NSE
535,JKLAKSHMI,NSE
536,KITPLYIND,NSE
537,SUNDRMBRAK,NSE
538,SUNCLAYLTD,NSE
539,SUNDRMFAST,NSE
540,SUNDARMFIN,NSE
541,SUPREMEIND,NSE
544,SMLISUZU,NSE
549,TALBROAUTO,NSE
552,TATACHEM,NSE
554,TATAPOWER,NSE
555,INFOMEDIA,NSE
556,TRF,NSE
557,TATAGLOBAL,NSE
560,TATAMOTORS,NSE
562,TEXINFRA,NSE
563,TIRUMALCHM,NSE
564,THOMASCOOK,NSE
565,TINPLATE,NSE
566,TATASTEEL,NSE
569,TIL,NSE
573,TUBEINVEST,NSE
577,UNICHEMLAB,NSE
578,EVEREADY,NSE
580,UBHOLDINGS,NSE
587,UNIVCABLES,NSE
592,JUBILANT,NSE
597,VOLTAS,NSE
598,VSTIND,NSE
600,UBENGG,NSE
601,WSI,NSE
602,WALCHANNAG,NSE
606,WENDT,NSE
607,WSTCSTPAPR,NSE
609,WHEELS,NSE
611,WILLARDLTD,NSE
614,WIPRO,NSE
618,XPROINDIA,NSE
620,ZENITHBIR,NSE
621,ZUARIGLOB,NSE
622,AUTOAXLES,NSE
623,MALWACOTT,NSE
632,ALEMBICLTD,NSE
633,ALKYLAMINE,NSE
636,APOLLOHOSP,NSE
641,BINDALAGRO,NSE
644,CIMMCO,NSE
651,DYNAMATECH,NSE
655,GLOBOFFS,NSE
657,GODFRYPHLP,NSE
667,NIPPOBATRY,NSE
670,NSIL,NSE
672,JBFIND,NSE
677,LYKALABS,NSE
683,MODERNDENM,NSE
688,NRC,NSE
690,NESCO,NSE
694,OUDHSUG,NSE
695,MARATHON,NSE
700,RSWM,NSE
702,RICOAUTO,NSE
704,RUCHISOYA,NSE
720,VIPIND,NSE
722,VINDHYATEL,NSE
732,BALMLAWRIE,NSE
737,DPL,NSE
743,KANORICHEM,NSE
745,WILLAMAGOR,NSE
751,MBECL,NSE
755,OCCL,NSE
765,UPERGANGES,NSE
770,PKTEA,NSE
771,SAKHTISUG,NSE
780,TTKHLTCARE,NSE
782,LUMAXIND,NSE
798,VARUNSHIP,NSE
799,ADORWELD,NSE
805,ORICONENT,NSE
807,MANGTIMBER,NSE
808,SUDARSCHEM,NSE
809,WINDMACHIN,NSE
810,UNIENTER,NSE
815,DRREDDY,NSE
820,UVSL,NSE
825,BSL,NSE
830,RAJASPETRO,NSE
831,REGENCERAM,NSE
840,IFBAGRO,NSE
842,HIMATSEIDE,NSE
848,TNPETRO,NSE
866,INEOSSTYRO,NSE
897,GANDHITUBE,NSE
922,KESARENT,NSE
927,TWILITAKA,NSE
932,VTL,NSE
941,MUNJALSHOW,NSE
942,NAHARSPING,NSE
955,RAIN,NSE
965,JINDALSAW,NSE
968,SHANTIGEAR,NSE
974,STINDIA,NSE
976,WINSOMEDJ,NSE
979,TAINWALCHM,NSE
983,VHL,NSE
986,UNITECH,NSE
991,BANCOINDIA,NSE
992,NATNLSTEEL,NSE
998,ZANDUREALT,NSE
1000,SAGCEM,NSE
1016,TITAN,NSE
1019,HCL-INSYS,NSE
1022,GARDENSILK,NSE
1024,ASAHIINDIA,NSE
1026,GHCL,NSE
1028,HONDAPOWER,NSE
1035,NICCO,NSE
1052,VISAKAIND,NSE
1054,SONASTEER,NSE
1056,POLYPLEX,NSE
1057,UTTAMSTL,NSE
1058,ESTER,NSE
1062,JCTEL,NSE
1065,SUNFLAG,NSE
1066,MURUDCERA,NSE
1071,KIRLOSIND,NSE
1074,GSCLCEMENT,NSE
1075,MUNJALAU,NSE
1076,USHAMART,NSE
1079,AGCNET,NSE
1082,CLASSIC,NSE
1083,SAMTEL,NSE
1093,ABAN,NSE
1095,EIHAHOTELS,NSE
1097,KOKUYOCMLN,NSE
1102,HITECHGEAR,NSE
1105,INDIAGLYCO,NSE
1106,PAPERPROD,NSE
1119,PENIND,NSE
1121,SUBROS,NSE
1127,JISLJALEQS,NSE
1128,GUJFLUORO,NSE
1129,KAJARIACER,NSE
1131,HONAUT,NSE
1140,SARDAEN,NSE
1147,ESABINDIA,NSE
1149,JAMNAAUTO,NSE
1150,JAYBARMARU,NSE
1165,MONSANTO,NSE
1167,VALUEIND,NSE
1180,SHRENUJ,NSE
1186,NAHARINDUS,NSE
1189,HFCL,NSE
1190,OILCOUNTUB,NSE
1196,JYOTISTRUC,NSE
1208,EUROTEXIND,NSE
1210,MODERNWOOL,NSE
1214,BEPL,NSE
1215,PEARLPOLY,NSE
1216,CHEMFALKAL,NSE
1220,INDORAMA,NSE
1223,CANFINHOME,NSE
1224,VINYLINDIA,NSE
1225,DHARSUGAR,NSE
1227,KABRAEXTRU,NSE
1250,VENKEYS,NSE
1252,FINPIPE,NSE
1254,ALBERTDAVD,NSE
1255,AMTEKAUTO,NSE
1258,SHIVTEX,NSE
1259,ANSALHSG,NSE
1287,HINDSYNTEX,NSE
1291,JINDRILL,NSE
1305,LLOYDFIN,NSE
1310,MODRNSYNTX,NSE
1313,MOSERBAER,NSE
1318,OMAXAUTO,NSE
1320,PATELENG,NSE
1321,POLARIND,NSE
1322,PTL,NSE
1338,SSWL,NSE
1344,SWARAJENG,NSE
1358,WEIZMANIND,NSE
1369,MANINDS,NSE
1375,SBIN,NSE
1389,AUTOLITIND,NSE
1393,ORGINFO,NSE
1394,SHREYANIND,NSE
1419,ICDSLTD,NSE
1436,RAJSREESUG,NSE
1437,RUBYMILLS,NSE
1467,ADVANIHOTR,NSE
1470,HIRECT,NSE
1474,UFLEX,NSE
1514,UCALFUEL,NSE
1520,SPICEMOBI,NSE
1524,VADILALIND,NSE
1538,ANANTRAJ,NSE
1559,HARITASEAT,NSE
1572,JAICORPLTD,NSE
1590,GEODESIC,NSE
1610,SICAL,NSE
1623,SUJANAUNI,NSE
1627,NAVNETEDUL,NSE
1693,GOODVALUE,NSE
1706,SUPERHOUSE,NSE
1710,IVC,NSE
1725,HINDOILEXP,NSE
1729,PAEL,NSE
1736,SUMANMOTEL,NSE
1741,CENTEXT,NSE
1742,GODREJIND,NSE
1745,SRTRANSFIN,NSE
1765,TTL,NSE
1774,DHANUKA,NSE
1781,KECL,NSE
1783,SUPERFORGE,NSE
1792,MANALIPETC,NSE
1809,ASIANELEC,NSE
1813,GRPLTD,NSE
1814,DHFL,NSE
1840,AVTNPL,NSE
1846,GINNIFILA,NSE
1861,KAKATCEM,NSE
1866,RELCAPITAL,NSE
1878,THIRUSUGAR,NSE
1889,SALZERELEC,NSE
1896,STERLINBIO,NSE
1903,PRECOT,NSE
1905,SUPERSPIN,NSE
1907,INDNIPPON,NSE
1908,PRICOL,NSE
1909,ROLTA,NSE
1926,RAMCOIND,NSE
1927,LGBBROSLTD,NSE
1938,MOTOGENFIN,NSE
1941,UNITEDTEA,NSE
1945,IMPAL,NSE
1952,SURYALAXMI,NSE
1957,RUCHINFRA,NSE
1960,ICIL,NSE
1967,GLFL,NSE
1971,SPANCO,NSE
1973,IOLCP,NSE
1975,HERCULES,NSE
1988,DENORA,NSE
2004,ARSHIYA,NSE
2006,AYMSYNTEX,NSE
2035,APARINDS,NSE
2036,ORIENTBELL,NSE
2039,DONEAR,NSE
2053,NOVAELEMAG,NSE
2060,MAHAPEXLTD,NSE
2061,NILKAMAL,NSE
2074,NAHARPOLY,NSE
2075,TECILCHEM,NSE
2086,SEQUENT,NSE
2096,3MINDIA,NSE
2100,JCHAC,NSE
2105,HBSTOCK,NSE
2110,AMARAJABAT,NSE
2113,JMFINANCIL,NSE
2117,SWANENERGY,NSE
2129,TNTELE,NSE
2141,EMCO,NSE
2146,ATFL,NSE
2153,RADICO,NSE
2163,CHOLAFIN,NSE
2165,STARPAPER,NSE
2168,S&SPOWER,NSE
2171,JAGSNPHARM,NSE
2174,NEPCMICON,NSE
2191,MAHSEAMLES,NSE
2195,RIIL,NSE
2198,MARALOVER,NSE
2202,IGPL,NSE
2208,BALRAMCHIN,NSE
2216,HIGHGROUND,NSE
2226,TIMKEN,NSE
2227,WELSPUNIND,NSE
2247,VINATIORGA,NSE
2259,ANDHRSUGAR,NSE
2278,GANECOS,NSE
2285,GUFICBIO,NSE
2290,BPCL,NSE
2292,MMTC,NSE
2293,MTNL,NSE
2294,BEML,NSE
2295,TATACOMM,NSE
2297,RCF,NSE
2298,BEL,NSE
2299,SAIL,NSE
2300,STCINDIA,NSE
2301,FACT,NSE
2302,HOCL,NSE
2303,NLCINDIA,NSE
2304,NATIONALUM,NSE
2305,HINDPETRO,NSE
2306,BHEL,NSE
2307,HINDZINC,NSE
2322,TATAELXSI,NSE
2323,HMT,NSE
2329,BHAGYNAGAR,NSE
2330,KOTAKBANK,NSE
2334,ITI,NSE
2335,DREDGECORP,NSE
2337,DCMSHRIRAM,NSE
2338,MAWANASUG,NSE
2339,CHENNPETRO,NSE
2347,SCI,NSE
2356,METALFORGE,NSE
2362,AUTORIDFIN,NSE
2370,RAINBOWPAP,NSE
2371,GENESYS,NSE
2378,AARTIIND,NSE
2381,IFGLREFRAC,NSE
2385,BINANIIND,NSE
2386,AUSOMENT,NSE
2393,WANBURY,NSE
2395,GRANDFONRY,NSE
2396,SURYAJYOTI,NSE
2400,PRECWIRE,NSE
2401,HBLPOWER,NSE
2404,AJMERA,NSE
2410,ARCOTECH,NSE
2412,KHAITANLTD,NSE
2415,GILLANDERS,NSE
2416,ADFFOODS,NSE
2437,NEPCAGRO,NSE
2439,GTL,NSE
2447,EASUNREYRL,NSE
2461,UPL,NSE
2467,FEL,NSE
2469,GAEL,NSE
2496,MRPL,NSE
2521,MADHAV,NSE
2531,VSTTILLERS,NSE
2547,KINGFA,NSE
2555,PARRYSUGAR,NSE
2576,NDGL,NSE
2598,NCC,NSE
2603,NAKODA,NSE
2626,DHAMPURSUG,NSE
2631,KDDL,NSE
2638,PLASTIBLEN,NSE
2642,GRUH,NSE
2650,PIIND,NSE
2671,IITL,NSE
2685,MOREPENLAB,NSE
2705,SUMEETINDS,NSE
2706,APCOTEXIND,NSE
2712,PHOENIXLL,NSE
2717,KOPRAN,NSE
2718,GIPCL,NSE
2720,LAKSHVILAS,NSE
2722,KARURVYSYA,NSE
2732,MASTEK,NSE
2747,EIMCOELECO,NSE
2765,VIJSHAN,NSE
2769,ASHIANA,NSE
2771,NIITLTD,NSE
2773,RAMGOPOLY,NSE
2777,BHARATRAS,NSE
2779,CONSOFINVT,NSE
2780,HSCL,NSE
2787,SREINFRA,NSE
2794,EASTSILK,NSE
2796,GTNIND,NSE
2805,MIRCELECTR,NSE
2806,INFY,NSE
2817,PILITA,NSE
2820,ANSALAPI,NSE
2825,ITIL,NSE
2831,SANGAMIND,NSE
2838,MAZDA,NSE
2846,TIDEWATER,NSE
2848,VLSFINANCE,NSE
2852,VICEROY,NSE
2879,INDBIOFOOD,NSE
2893,GUJRAFFIA,NSE
2896,MENONBE,NSE
2897,SIMPLEXINF,NSE
2900,VARDMNPOLY,NSE
2912,CMICABLES,NSE
2915,JAYAGROGN,NSE
2955,DSKULKARNI,NSE
2966,MOTHERSUMI,NSE
2970,TRIDENT,NSE
2975,AARTIDRUGS,NSE
2986,TATAMETALI,NSE
2987,MODERNMAL,NSE
2990,BANSWRAS,NSE
2996,SOMATEX,NSE
2997,SHAHALLOYS,NSE
3007,SALORAINTL,NSE
3010,KEMROCK,NSE
3019,TCIFINANCE,NSE
3021,CUBEXTUB,NSE
3026,LUPIN,NSE
3029,CHAMBLFERT,NSE
3041,MONNETISPA,NSE
